time,SH,DJIA,FCHI,FTSE,HSI,N225,SSMI,STI,TWII
2019/12/4,-0.2282044,0.5343772,1.265185,0.4154384,-1.245639,-1.046117,0.9931651,-0.4188372,-0.1830656
2019/12/5,0.7419102,0.101302,0.03223676,-0.7045963,0.5927219,0.7125902,0.2800354,0.4557234,0.7313399
2019/12/6,0.4326629,1.218564,1.212785,1.426341,1.073081,0.2330916,0.9685906,0.6464648,0.1292774
2019/12/9,0.08461883,-0.3764437,-0.5902705,-0.07956525,-0.01373168,0.3267,-0.2770505,-0.4660796,0.4404089
2019/12/10,0.0973722,-0.09989002,0.1846723,-0.2784133,-0.2193317,-0.08753373,-0.4251063,-0.5324256,-0.2823972
2019/12/13,1.782696,0.01183731,0.5907328,1.099471,2.569517,2.554083,-0.2113679,0.6066394,0.7714372
2019/12/16,0.5632712,0.3572362,1.227232,2.252141,-0.6489146,-0.2945082,1.07774,-0.2476614,0.1009334
2019/12/17,1.274256,0.1107439,-0.3905494,0.08285595,1.220081,0.4749828,-0.02637413,-0.1649997,1.316945
2019/12/18,-0.1779022,-0.09863339,-0.1450954,0.2055766,0.1454547,-0.5471985,0.1693782,0.2730564,0.2103035
2019/12/19,0.000695916,0.4875537,0.2127607,0.4385482,-0.3002441,-0.2907113,0.1743924,-0.06605673,-0.8541986
2019/12/20,-0.4019777,0.2753251,0.8246432,0.1143433,0.2548853,-0.2020493,0.9855153,0.1549523,-0.4977187
2019/12/23,-1.403891,0.3389181,0.130205,0.5421691,0.1257942,0.01880415,0.4506809,0.05012179,0.5280539
2019/12/27,-0.07711403,0.08339616,0.1300318,0.1658709,1.296319,-0.3644703,0.02470651,0.1098371,0.7547705
